timestamp,emotion,confidence
2026-01-18 17:49:44,Happy,0.464
2026-01-18 17:49:45,Happy,0.473
2026-01-18 17:49:46,Neutral,0.631
2026-01-18 17:49:47,Neutral,0.459
2026-01-18 17:49:48,Neutral,0.568
2026-01-18 17:49:49,Neutral,0.764
2026-01-18 17:49:50,Neutral,0.408
2026-01-18 17:49:51,Neutral,0.390
2026-01-18 17:49:53,Neutral,0.505
2026-01-18 17:49:54,Neutral,0.480
2026-01-18 17:49:55,Neutral,0.455
2026-01-18 17:49:56,Neutral,0.559
2026-01-18 17:49:58,Neutral,0.485
2026-01-18 17:49:59,Neutral,0.383
